# Paibi Sentence Locations
# File <Number>: Paragraph <Number>, Sentence <Number>
File 010110149: Paragraph 2, Sentence 1
File 010110149: Paragraph 2, Sentence 3
File 010110149: Paragraph 6, Sentence 1
File 010110178: Paragraph 3, Sentence 1
File 010110200: Paragraph 11, Sentence 1
File 010110216: Paragraph 8, Sentence 2
File 010110231: Paragraph 6, Sentence 2
File 010110278: Paragraph 9, Sentence 2
File 010110315: Paragraph 6, Sentence 2
File 010110317: Paragraph 2, Sentence 1
File 010110331: Paragraph 3, Sentence 1
File 010110335: Paragraph 13, Sentence 5
File 010110369: Paragraph 2, Sentence 5
File 010110396: Paragraph 2, Sentence 2
File 010110396: Paragraph 4, Sentence 4
File 010110398: Paragraph 6, Sentence 4
File 010110399: Paragraph 2, Sentence 1
File 010110406: Paragraph 3, Sentence 1
File 010110410: Paragraph 4, Sentence 1
File 010110415: Paragraph 2, Sentence 1
File 010110434: Paragraph 4, Sentence 1
File 010110434: Paragraph 9, Sentence 1
File 010110475: Paragraph 5, Sentence 2
File 010110475: Paragraph 10, Sentence 4
File 010110488: Paragraph 8, Sentence 2
File 010110495: Paragraph 4, Sentence 1
File 010110495: Paragraph 5, Sentence 1
File 010110500: Paragraph 2, Sentence 3
File 010110503: Paragraph 5, Sentence 1
File 010110504: Paragraph 3, Sentence 2
File 010110526: Paragraph 2, Sentence 1
File 010110526: Paragraph 5, Sentence 1
File 010110530: Paragraph 9, Sentence 1
File 010110531: Paragraph 7, Sentence 1
File 010110536: Paragraph 8, Sentence 2
File 010110560: Paragraph 3, Sentence 2
File 010110567: Paragraph 7, Sentence 2
File 010110568: Paragraph 8, Sentence 2
File 010110570: Paragraph 4, Sentence 5
File 010110576: Paragraph 2, Sentence 1
File 010110577: Paragraph 2, Sentence 1
File 010110577: Paragraph 10, Sentence 2
File 010110588: Paragraph 2, Sentence 2
File 010110588: Paragraph 6, Sentence 3
File 010110596: Paragraph 2, Sentence 3
File 010110603: Paragraph 2, Sentence 1
File 010110605: Paragraph 9, Sentence 1
File 010110605: Paragraph 9, Sentence 2
File 010110608: Paragraph 2, Sentence 3
File 010110622: Paragraph 7, Sentence 7
File 010110635: Paragraph 3, Sentence 1
File 010110658: Paragraph 5, Sentence 1
File 010110659: Paragraph 2, Sentence 1
File 010110659: Paragraph 2, Sentence 2
File 010110659: Paragraph 7, Sentence 1
File 010110659: Paragraph 10, Sentence 3
File 010110666: Paragraph 5, Sentence 1
File 010110666: Paragraph 7, Sentence 1
File 010110690: Paragraph 11, Sentence 1
File 010110705: Paragraph 10, Sentence 2
File 010110713: Paragraph 8, Sentence 1
File 010110714: Paragraph 2, Sentence 2
File 010110768: Paragraph 9, Sentence 1
File 010110782: Paragraph 6, Sentence 4
